"","Sex","Age","SibSp","Parch","Fare","Embarked","SurvivedF","PclassF"
"1","male",22,1,0,7.25,"S","0","3"
"2","female",38,1,0,71.2833,"C","1","1"
"3","female",26,0,0,7.925,"S","1","3"
"4","female",35,1,0,53.1,"S","1","1"
"5","male",35,0,0,8.05,"S","0","3"
"6","male",NA,0,0,8.4583,"Q","0","3"
"7","male",54,0,0,51.8625,"S","0","1"
"8","male",2,3,1,21.075,"S","0","3"
"9","female",27,0,2,11.1333,"S","1","3"
"10","female",14,1,0,30.0708,"C","1","2"
"11","female",4,1,1,16.7,"S","1","3"
"12","female",58,0,0,26.55,"S","1","1"
"13","male",20,0,0,8.05,"S","0","3"
"14","male",39,1,5,31.275,"S","0","3"
"15","female",14,0,0,7.8542,"S","0","3"
"16","female",55,0,0,16,"S","1","2"
"17","male",2,4,1,29.125,"Q","0","3"
"18","male",NA,0,0,13,"S","1","2"
"19","female",31,1,0,18,"S","0","3"
"20","female",NA,0,0,7.225,"C","1","3"
"21","male",35,0,0,26,"S","0","2"
"22","male",34,0,0,13,"S","1","2"
"23","female",15,0,0,8.0292,"Q","1","3"
"24","male",28,0,0,35.5,"S","1","1"
"25","female",8,3,1,21.075,"S","0","3"
"26","female",38,1,5,31.3875,"S","1","3"
"27","male",NA,0,0,7.225,"C","0","3"
"28","male",19,3,2,263,"S","0","1"
"29","female",NA,0,0,7.8792,"Q","1","3"
"30","male",NA,0,0,7.8958,"S","0","3"
"31","male",40,0,0,27.7208,"C","0","1"
"32","female",NA,1,0,146.5208,"C","1","1"
"33","female",NA,0,0,7.75,"Q","1","3"
"34","male",66,0,0,10.5,"S","0","2"
"35","male",28,1,0,82.1708,"C","0","1"
"36","male",42,1,0,52,"S","0","1"
"37","male",NA,0,0,7.2292,"C","1","3"
"38","male",21,0,0,8.05,"S","0","3"
"39","female",18,2,0,18,"S","0","3"
"40","female",14,1,0,11.2417,"C","1","3"
"41","female",40,1,0,9.475,"S","0","3"
"42","female",27,1,0,21,"S","0","2"
"43","male",NA,0,0,7.8958,"C","0","3"
"44","female",3,1,2,41.5792,"C","1","2"
